"Name of Business","License Address"
"112 EATERY","112 3RD ST N MINNEAPOLIS, MN 55401"
"15TH STREET MARKET","1500 NICOLLET AVE MINNEAPOLIS, MN 55403"
"180 DEGREES INC","236 CLIFTON AVE MINNEAPOLIS, MN 55403"
"19 BAR","19 15TH ST W MINNEAPOLIS, MN 55403"
"1ST WOK LAKESIDE","3236 LAKE ST W MINNEAPOLIS, MN 55416"
"22ND AVENUE STATION","2121 UNIVERSITY AVE NE MINNEAPOLIS, MN 55418"
"3 TIERS","5011 34TH AVE S MINNEAPOLIS, MN 55417"
"331 CLUB","331 13TH AVE NE MINNEAPOLIS, MN 55413"
"38TH ST DAIRY QUEEN","3747 13TH AVE S MINNEAPOLIS, MN 55407"
"400 SOUND BAR","400 3RD AVE N MINNEAPOLIS, MN 55401"
"5-8 CLUB","5800 CEDAR AVE S MINNEAPOLIS, MN 55417"
"50TH STREET CAFE","3808 50TH ST W MINNEAPOLIS, MN 55410"
"7 - THE SKYBAR","700 HENNEPIN AVE MINNEAPOLIS, MN 55403"
"7 - THE STEAKHOUSE","700 HENNEPIN AVE MINNEAPOLIS, MN 55403"
"7 SEVEN","700 HENNEPIN AVE MINNEAPOLIS, MN 55403"
"708 DELI","708 1ST ST N 221 MINNEAPOLIS, MN 55401"
"8TH STREET GRILL & TAVERN","800 MARQUETTE AVE MINNEAPOLIS, MN 55402"
"8TH STREET MARKET","630 8TH ST SE MINNEAPOLIS, MN 55414"
"A & J FISH & CHICKEN","500 LAKE ST E MINNEAPOLIS, MN 55408"
"A & M DOLLAR STORE PLUS BEAUTY","2520 CENTRAL AVE NE #1 MINNEAPOLIS, MN 55418"
"A BAKERS WIFE PASTRY SHOP","4200 28TH AVE S MINNEAPOLIS, MN 55406"
"A CHEFS PRODUCTION","600 1ST AVE N 4TH FLOOR MINNEAPOLIS, MN 55403"
"A CHEFS PRODUCTION","600 1ST AVE N MINNEAPOLIS, MN 55403"
"A LA SALSA RESTAURANT","920 LAKE ST E 155 MINNEAPOLIS, MN 55407"
"A SLICE OF NEW YORK","2407 NICOLLET AVE MINNEAPOLIS, MN 55404"
"ABBOTT NORTHWESTERN HOSPITAL","800 28TH ST E MINNEAPOLIS, MN 55407"
